id,nombre,materia_favorita,fecha_registro
101,mariana,inglés,2026-01-01
785,beatriz,matemáticas,2026-01-14
322,amelia,programación,2026-01-18
616,beatriz,inglés,2026-01-03
762,beatriz_123,programación,2026-01-01
988,carlos,base de datos,2026-01-11
874,carlos,matemáticas,2026-01-08
728,amelia,base de datos,2026-02-16
897,carlos,matemáticas,2026-02-08
344,beatriz,programación,2026-01-31
559,jose,base de datos,2026-02-25
901,jose,matemáticas,2026-02-12
500,carlos,inglés,2026-01-05
931,mariana,base de datos,2026-01-13
498,carlos,programación,2026-01-23
260,amelia,inglés,2026-02-21
155,jose,base de datos,2026-02-08
989,carlos,base de datos,2026-02-16
968,carlos,base de datos,2026-01-17
840,mariana,base de datos,2026-01-27
270,jose,base de datos,2026-02-06
904,beatriz,inglés,2026-02-03
114,jose,matemáticas,2026-01-15
549,amelia,base de datos,2026-01-17
699,jose,programación,2026-01-06
453,amelia,base de datos,2026-01-19
698,beatriz,programación,2026-01-28
553,mariana,base de datos,2026-02-25
279,amelia,programación,2026-01-20
954,mariana,base de datos,2026-02-14
500,carlos,programación,2026-02-12
817,jose,base de datos,2026-01-03
429,carlos,inglés,2026-02-03
451,jose,inglés,2026-02-11
709,beatriz,base de datos,2026-02-07
415,carlos,matemáticas,2026-02-18
657,carlos,base de datos,2026-02-11
248,beatriz,inglés,2026-01-13
934,carlos,inglés,2026-01-02
528,carlos_123,base de datos,2026-01-29
331,amelia,matemáticas,2026-02-06
189,carlos,inglés,2026-02-22
785,beatriz,programación,2026-02-10
736,carlos,inglés,2026-02-07
649,mariana,matemáticas,2026-01-11
486,carlos,matemáticas,2026-02-19
884,beatriz,matemáticas,2026-02-20
721,carlos,base de datos,2026-02-13
849,mariana,programación,2026-01-17
207,carlos,matemáticas,2026-01-06
748,mariana,base de datos,2026-01-19
611,amelia,matemáticas,2026-02-15
789,jose,inglés,2026-01-27
374,carlos,programación,2026-01-04
198,jose,base de datos,2026-01-23
422,jose,base de datos,2026-01-07
500,amelia,matemáticas,2026-01-28
659,beatriz,programación,2026-01-24
920,jose,matemáticas,2026-01-09
433,beatriz,programación,2026-01-31
620,mariana,base de datos,2026-01-24
829,mariana,inglés,2026-01-02
638,mariana,matemáticas,2026-02-25
876,beatriz,matemáticas,2026-02-12
333,amelia,base de datos,2026-01-19
797,jose,base de datos,2026-01-15
469,amelia,matemáticas,2026-01-06
450,amelia,base de datos,2026-01-05
255,mariana,programación,2026-01-06
891,jose,matemáticas,2026-01-11
199,amelia,base de datos,2026-02-21
758,carlos,inglés,2026-01-21
869,carlos,base de datos,2026-02-21
178,carlos,matemáticas,2026-01-15
361,mariana,base de datos,2026-02-06
893,mariana,inglés,2026-01-05
511,beatriz,matemáticas,2026-01-27
377,beatriz,base de datos,2026-02-22
937,amelia,matemáticas,2026-02-26
284,mariana,matemáticas,2026-01-21
580,jose,matemáticas,2026-03-02
799,amelia,matemáticas,2026-01-18
254,jose,matemáticas,2026-01-25
163,carlos,inglés,2026-02-06
641,amelia,programación,2026-01-04
952,jose,inglés,2026-02-27
592,amelia,matemáticas,2026-02-28
272,amelia,matemáticas,2026-01-29
747,amelia,inglés,2026-01-30
329,mariana,programación,2026-01-07
787,amelia,matemáticas,2026-02-20
662,mariana,inglés,2026-01-20
819,beatriz,programación,2026-01-22
540,jose,programación,2026-02-09
957,mariana,matemáticas,2026-01-01
840,jose,inglés,2026-02-16
550,carlos,matemáticas,2026-01-28
153,mariana,base de datos,2026-02-02
237,amelia,base de datos,2026-02-15
770,mariana,base de datos,2026-02-19
901,mariana,inglés,2026-01-02
578,jose,inglés,2026-02-02
188,beatriz,base de datos,2026-02-22
116,jose,inglés,2026-01-01
860,jose,matemáticas,2026-01-07
191,beatriz,programación,2026-01-14
272,amelia,programación,2026-02-13
735,mariana,matemáticas,2026-01-29
440,amelia,programación,2026-02-11
411,jose,base de datos,2026-02-16
564,amelia,base de datos,2026-01-14
569,amelia_123,base de datos,2026-03-01
937,mariana,matemáticas,2026-02-09
338,jose,base de datos,2026-01-04
868,jose,inglés,2026-03-01
205,beatriz,programación,2026-01-12
733,mariana,matemáticas,2026-01-25
433,mariana,base de datos,2026-01-09
777,mariana,inglés,2026-01-01
875,carlos,programación,2026-01-20
950,carlos_123,matemáticas,2026-01-02
367,beatriz_123,matemáticas,2026-02-04
451,mariana,base de datos,2026-02-09
794,beatriz_123,matemáticas,2026-02-18
571,carlos,programación,2026-01-01
575,carlos,base de datos,2026-01-06
388,mariana,inglés,2026-03-02
896,jose,programación,2026-02-05
785,carlos,base de datos,2026-02-01
229,jose,inglés,2026-02-04
277,beatriz,matemáticas,2026-02-15
725,amelia,programación,2026-02-22
625,beatriz,inglés,2026-02-05
183,carlos,inglés,2026-01-27
683,jose,base de datos,2026-02-04
628,amelia,programación,2026-01-09
245,jose_123,inglés,2026-01-23
505,mariana,matemáticas,2026-01-09
922,carlos,programación,2026-02-07
209,jose,inglés,2026-01-20
931,jose,base de datos,2026-01-02
139,beatriz_123,inglés,2026-01-24
638,mariana,inglés,2026-01-25
238,jose,base de datos,2026-01-28
472,mariana,matemáticas,2026-01-04
673,beatriz,programación,2026-02-19
893,mariana,matemáticas,2026-02-06
544,amelia,inglés,2026-02-12
507,jose,base de datos,2026-01-09
867,mariana,inglés,2026-01-11
238,mariana,matemáticas,2026-01-13
428,mariana,base de datos,2026-02-06
447,carlos,matemáticas,2026-02-02
428,mariana,matemáticas,2026-02-01
594,mariana_123,matemáticas,2026-02-03
516,carlos,matemáticas,2026-02-13
502,jose,matemáticas,2026-02-12
554,mariana,base de datos,2026-02-17
997,amelia,base de datos,2026-02-27
452,mariana,base de datos,2026-02-11
428,amelia,matemáticas,2026-02-04
357,beatriz_123,base de datos,2026-01-24
341,amelia,matemáticas,2026-01-02
764,mariana,programación,2026-02-01
263,jose,inglés,2026-02-17
704,beatriz,base de datos,2026-01-28
289,mariana,inglés,2026-03-02
160,jose,inglés,2026-01-27
927,amelia_123,base de datos,2026-02-09
139,carlos,programación,2026-02-23
273,mariana,programación,2026-02-12
734,carlos,matemáticas,2026-02-25
500,amelia,inglés,2026-01-10
469,amelia,base de datos,2026-01-22
